dataset,model,n_icl,BLEU,ROUGE-L,BERT,MEDCON
opi,flan-ul2,0,"{'avg': 2.2, 'std': 8.44}","{'avg': 14.31, 'std': 17.1}","{'avg': 85.84, 'std': 2.47}","{'avg': 9.4, 'std': 19.79}"
opi,flan-ul2,1,"{'avg': 37.34, 'std': 44.87}","{'avg': 53.81, 'std': 41.74}","{'avg': 92.15, 'std': 6.57}","{'avg': 48.63, 'std': 45.55}"
opi,flan-ul2,2,"{'avg': 38.38, 'std': 46.39}","{'avg': 53.49, 'std': 42.63}","{'avg': 92.27, 'std': 6.78}","{'avg': 47.36, 'std': 46.0}"
opi,flan-ul2,4,"{'avg': 39.4, 'std': 46.75}","{'avg': 54.61, 'std': 42.24}","{'avg': 92.44, 'std': 6.9}","{'avg': 49.89, 'std': 45.98}"
opi,flan-ul2,8,"{'avg': 40.03, 'std': 46.89}","{'avg': 55.89, 'std': 42.13}","{'avg': 92.66, 'std': 6.83}","{'avg': 50.11, 'std': 46.21}"
opi,flan-ul2,16,"{'avg': 38.99, 'std': 46.4}","{'avg': 54.62, 'std': 42.34}","{'avg': 92.46, 'std': 6.86}","{'avg': 48.61, 'std': 46.26}"
cxr,flan-ul2,0,"{'avg': 4.11, 'std': 9.08}","{'avg': 16.57, 'std': 15.88}","{'avg': 84.34, 'std': 3.2}","{'avg': 17.18, 'std': 24.24}"
cxr,flan-ul2,1,"{'avg': 20.71, 'std': 33.76}","{'avg': 38.35, 'std': 34.45}","{'avg': 88.29, 'std': 6.44}","{'avg': 37.06, 'std': 38.74}"
cxr,flan-ul2,2,"{'avg': 22.17, 'std': 36.32}","{'avg': 38.31, 'std': 34.62}","{'avg': 88.62, 'std': 6.36}","{'avg': 39.18, 'std': 38.44}"
cxr,flan-ul2,4,"{'avg': 23.19, 'std': 37.5}","{'avg': 40.32, 'std': 35.47}","{'avg': 89.17, 'std': 6.37}","{'avg': 40.13, 'std': 39.26}"
cxr,flan-ul2,8,"{'avg': 23.29, 'std': 38.25}","{'avg': 42.45, 'std': 35.85}","{'avg': 89.49, 'std': 6.47}","{'avg': 43.14, 'std': 39.47}"
cxr,flan-ul2,16,"{'avg': 24.92, 'std': 39.01}","{'avg': 42.11, 'std': 35.89}","{'avg': 89.37, 'std': 6.59}","{'avg': 42.4, 'std': 39.57}"
iii,flan-ul2,0,"{'avg': 5.75, 'std': 7.9}","{'avg': 20.98, 'std': 13.14}","{'avg': 86.49, 'std': 2.45}","{'avg': 24.61, 'std': 23.05}"
iii,flan-ul2,1,"{'avg': 7.89, 'std': 13.62}","{'avg': 23.92, 'std': 15.0}","{'avg': 87.02, 'std': 2.97}","{'avg': 29.16, 'std': 24.91}"
iii,flan-ul2,2,"{'avg': 8.42, 'std': 14.26}","{'avg': 23.82, 'std': 15.71}","{'avg': 87.01, 'std': 3.27}","{'avg': 26.77, 'std': 24.55}"
iii,flan-ul2,4,"{'avg': 9.03, 'std': 17.42}","{'avg': 25.25, 'std': 18.09}","{'avg': 87.16, 'std': 3.58}","{'avg': 28.21, 'std': 24.5}"
iii,flan-ul2,8,"{'avg': 8.43, 'std': 13.89}","{'avg': 24.86, 'std': 15.27}","{'avg': 87.18, 'std': 3.26}","{'avg': 28.91, 'std': 25.35}"
chq,flan-ul2,0,"{'avg': 2.26, 'std': 6.7}","{'avg': 22.52, 'std': 16.52}","{'avg': 89.1, 'std': 3.17}","{'avg': 27.54, 'std': 37.41}"
chq,flan-ul2,1,"{'avg': 2.79, 'std': 7.4}","{'avg': 26.37, 'std': 16.66}","{'avg': 89.92, 'std': 3.1}","{'avg': 37.18, 'std': 39.13}"
chq,flan-ul2,2,"{'avg': 2.47, 'std': 7.03}","{'avg': 28.83, 'std': 15.53}","{'avg': 90.3, 'std': 3.11}","{'avg': 39.53, 'std': 37.59}"
chq,flan-ul2,4,"{'avg': 3.16, 'std': 8.03}","{'avg': 29.4, 'std': 16.72}","{'avg': 90.29, 'std': 3.51}","{'avg': 42.19, 'std': 37.97}"
chq,flan-ul2,8,"{'avg': 4.07, 'std': 10.09}","{'avg': 30.91, 'std': 16.33}","{'avg': 90.64, 'std': 3.4}","{'avg': 44.33, 'std': 38.96}"
pls,flan-ul2,0,"{'avg': 0.0, 'std': 0.0}","{'avg': 10.36, 'std': 16.89}","{'avg': 81.23, 'std': 3.07}","{'avg': 10.11, 'std': 20.12}"
pls,flan-ul2,1,"{'avg': 0.0, 'std': 0.0}","{'avg': 5.08, 'std': 14.41}","{'avg': 79.69, 'std': 3.31}","{'avg': 4.85, 'std': 14.44}"
d2n,flan-ul2,0,"{'avg': 4.96, 'std': 6.33}","{'avg': 21.18, 'std': 10.01}","{'avg': 85.71, 'std': 2.21}","{'avg': 39.96, 'std': 18.93}"
opi,flan-t5-xl,0,"{'avg': 0.86, 'std': 4.64}","{'avg': 11.58, 'std': 15.2}","{'avg': 86.3, 'std': 2.59}","{'avg': 5.23, 'std': 16.36}"
opi,flan-t5-xl,1,"{'avg': 43.64, 'std': 47.17}","{'avg': 63.52, 'std': 39.27}","{'avg': 93.99, 'std': 6.16}","{'avg': 57.64, 'std': 46.42}"
opi,flan-t5-xl,2,"{'avg': 45.27, 'std': 47.3}","{'avg': 66.97, 'std': 38.19}","{'avg': 94.65, 'std': 5.82}","{'avg': 61.84, 'std': 45.13}"
opi,flan-t5-xl,4,"{'avg': 46.04, 'std': 47.43}","{'avg': 67.45, 'std': 38.23}","{'avg': 94.63, 'std': 5.9}","{'avg': 61.09, 'std': 45.76}"
cxr,flan-t5-xl,0,"{'avg': 3.45, 'std': 9.38}","{'avg': 18.03, 'std': 18.24}","{'avg': 84.81, 'std': 3.52}","{'avg': 16.09, 'std': 25.86}"
cxr,flan-t5-xl,1,"{'avg': 24.32, 'std': 38.79}","{'avg': 40.69, 'std': 34.67}","{'avg': 89.12, 'std': 6.36}","{'avg': 38.4, 'std': 37.94}"
cxr,flan-t5-xl,2,"{'avg': 24.76, 'std': 38.94}","{'avg': 42.54, 'std': 35.89}","{'avg': 89.43, 'std': 6.45}","{'avg': 39.23, 'std': 39.9}"
iii,flan-t5-xl,0,"{'avg': 4.41, 'std': 8.78}","{'avg': 20.72, 'std': 15.87}","{'avg': 86.43, 'std': 3.29}","{'avg': 19.36, 'std': 23.27}"
iii,flan-t5-xl,1,"{'avg': 9.33, 'std': 17.95}","{'avg': 26.34, 'std': 19.2}","{'avg': 87.39, 'std': 3.61}","{'avg': 28.97, 'std': 27.12}"
chq,flan-t5-xl,0,"{'avg': 2.38, 'std': 7.9}","{'avg': 28.63, 'std': 15.96}","{'avg': 90.03, 'std': 3.08}","{'avg': 40.65, 'std': 39.99}"
chq,flan-t5-xl,1,"{'avg': 1.53, 'std': 5.75}","{'avg': 27.54, 'std': 16.27}","{'avg': 88.6, 'std': 3.63}","{'avg': 38.32, 'std': 37.77}"
chq,flan-t5-xl,2,"{'avg': 2.32, 'std': 7.02}","{'avg': 27.81, 'std': 17.42}","{'avg': 88.59, 'std': 3.84}","{'avg': 41.75, 'std': 39.45}"
